pair_idx,speaker_id,gender,direction,transcript,orig_path,trans_path,dur_s
0,84,F,F2M,BY HIS DEFAULT SHORT WHILE HE SOJOURNED HERE BY HIS DEFAULT TO WEEPING AND TO TO,./Results/examples/pair_000_orig_F.wav,./Results/examples/pair_000_trans_F2M.wav,6.0
1,1993,F,F2M,HIS FACE HAD A LOOK OF WEARINESS AND PLEASURE LIKE THAT OF SICK PEOPLE WHEN THEY,./Results/examples/pair_001_orig_F.wav,./Results/examples/pair_001_trans_F2M.wav,6.0
2,1462,F,F2M,EMERGING AT EUSTON AT HALF PAST THREE O'CLOCK IN THE AFTERNOON ALEXANDER HAD HIS,./Results/examples/pair_002_orig_F.wav,./Results/examples/pair_002_trans_F2M.wav,6.0
3,3081,F,F2M,HE WANTS ME TO STAND READY TO OBEY ANY SUMMONS THE POLICE MAY SEND ME,./Results/examples/pair_003_orig_F.wav,./Results/examples/pair_003_trans_F2M.wav,5.34
4,2803,M,M2F,ONCE THERE WAS A FATHER WHO THOUGHT HE WOULD BUILD FOR HIS CHILDREN A BEAUTIFUL ,./Results/examples/pair_004_orig_M.wav,./Results/examples/pair_004_trans_M2F.wav,6.0
5,251,M,M2F,BILL CHANDLER THE ZOOLOGIST HAD BEEN GOING DEEPER AND DEEPER INTO THE OLD SEA BO,./Results/examples/pair_005_orig_M.wav,./Results/examples/pair_005_trans_M2F.wav,6.0
6,2078,M,M2F,TO MAKE HOT BUTTERED TOAST SEVENTEEN TWENTY SIX,./Results/examples/pair_006_orig_M.wav,./Results/examples/pair_006_trans_M2F.wav,4.87
7,1993,F,F2M,HER CRIES BROUGHT HER HUSBAND DOWN TO TRY WITH HIS ACHING HEART TO COMFORT HERS,./Results/examples/pair_007_orig_F.wav,./Results/examples/pair_007_trans_F2M.wav,5.28
8,652,M,M2F,THE POODLE DOG HAS A HOTEL ATTACHMENT WHERE ONE MAY GET ROOMS OR FULL APARTMENTS,./Results/examples/pair_008_orig_M.wav,./Results/examples/pair_008_trans_M2F.wav,4.85
9,1988,F,F2M,SHE GOT UP ON HER KNEES AND WRUNG HER HANDS,./Results/examples/pair_009_orig_F.wav,./Results/examples/pair_009_trans_F2M.wav,3.085
10,7850,F,F2M,FOUR AND TWENTY HOURS AGO AND HE DEEMED HIMSELF THE MOST MISERABLE AND FORLORN O,./Results/examples/pair_010_orig_F.wav,./Results/examples/pair_010_trans_F2M.wav,6.0
11,5694,M,M2F,THE VOICE APPEARED TO BE OVERHEAD,./Results/examples/pair_011_orig_M.wav,./Results/examples/pair_011_trans_M2F.wav,2.385
12,1462,F,F2M,YES HILDA I KNOW THAT HE SAID SIMPLY,./Results/examples/pair_012_orig_F.wav,./Results/examples/pair_012_trans_F2M.wav,3.975
13,1462,F,F2M,COULD YOU COULD YOU SIT DOWN AND TALK ABOUT IT QUIETLY BARTLEY AS IF I WERE A FR,./Results/examples/pair_013_orig_F.wav,./Results/examples/pair_013_trans_F2M.wav,6.0
14,1988,F,F2M,I EXPLAIN THAT I'M TAKING MUSIC AND ALSO BIOLOGY ALGEBRA ENGLISH AND FRENCH MUSI,./Results/examples/pair_014_orig_F.wav,./Results/examples/pair_014_trans_F2M.wav,6.0
15,251,M,M2F,THIS MAN WAS CLAD IN A BROWN CAMEL HAIR ROBE AND SANDALS AND A GREEN TURBAN WAS ,./Results/examples/pair_015_orig_M.wav,./Results/examples/pair_015_trans_M2F.wav,6.0
16,251,M,M2F,LET'S SEE ABOUT GETTING HELP FOR MISTER FABER,./Results/examples/pair_016_orig_M.wav,./Results/examples/pair_016_trans_M2F.wav,2.615
17,6313,F,F2M,HE'S A TROUBLE CURER NOT A TROUBLEMAKER EXCEPT FOR HIMSELF,./Results/examples/pair_017_orig_F.wav,./Results/examples/pair_017_trans_F2M.wav,3.795
18,7976,M,M2F,LET ME ENTER I PRAY YOU TO PASS THE NIGHT UNDER YOUR ROOF,./Results/examples/pair_018_orig_M.wav,./Results/examples/pair_018_trans_M2F.wav,5.21
19,1462,F,F2M,I NEVER DREAMED IT WOULD BE YOU BARTLEY,./Results/examples/pair_019_orig_F.wav,./Results/examples/pair_019_trans_F2M.wav,2.44
20,777,M,M2F,THERE WAS AN EXTRAORDINARY FORCE OF SUGGESTION IN THIS POSTURING,./Results/examples/pair_020_orig_M.wav,./Results/examples/pair_020_trans_M2F.wav,3.02
21,2428,M,M2F,I FELT QUITE LIVELY MYSELF AS I MINGLED WITH THE CHRISTMAS CROWD LOOKING FOR THI,./Results/examples/pair_021_orig_M.wav,./Results/examples/pair_021_trans_M2F.wav,6.0
22,8842,F,F2M,THEREAFTER THIS SONNET BRED IN ME DESIRE TO WRITE DOWN IN VERSE FOUR OTHER THING,./Results/examples/pair_022_orig_F.wav,./Results/examples/pair_022_trans_F2M.wav,6.0
23,652,M,M2F,JOHN TAIT IS THE PRESIDING SPIRIT HERE HE HAVING MADE REPUTATION AS CLUB MANAGER,./Results/examples/pair_023_orig_M.wav,./Results/examples/pair_023_trans_M2F.wav,6.0
24,5694,M,M2F,OUR PICKETS HAD RUN IN AND REPORTED A NIGHT ATTACK,./Results/examples/pair_024_orig_M.wav,./Results/examples/pair_024_trans_M2F.wav,3.125
25,251,M,M2F,BY WHICH A SOUL IS DRAWN FROM ITS BODY AND ACROSS GULFS OF ECHOING SPACE RETURNE,./Results/examples/pair_025_orig_M.wav,./Results/examples/pair_025_trans_M2F.wav,6.0
26,6241,M,M2F,HE WAS HOWEVER BUT A CIVIL SERVANT A MAGISTRATE THE GOVERNOR OF THE ISLAND BARON,./Results/examples/pair_026_orig_M.wav,./Results/examples/pair_026_trans_M2F.wav,6.0
27,7850,F,F2M,THIS VIOLENT AND TRIUMPHANT REVOLUTION IN HIS PROSPECTS AND HIS FORTUNES WAS HAR,./Results/examples/pair_027_orig_F.wav,./Results/examples/pair_027_trans_F2M.wav,6.0
28,3081,F,F2M,BUT CLEWS THERE ARE ABSOLUTELY NONE,./Results/examples/pair_028_orig_F.wav,./Results/examples/pair_028_trans_F2M.wav,2.73
29,1272,M,M2F,NOT EXACTLY RETURNED KALIKO,./Results/examples/pair_029_orig_M.wav,./Results/examples/pair_029_trans_M2F.wav,3.18
30,2277,F,F2M,HIS AMBITION WAS SOME DAY TO BUILD A HOUSE ON THEM,./Results/examples/pair_030_orig_F.wav,./Results/examples/pair_030_trans_F2M.wav,3.215
31,5694,M,M2F,THE POOR FELLOW STAYED IN THAT WELL ALL NIGHT,./Results/examples/pair_031_orig_M.wav,./Results/examples/pair_031_trans_M2F.wav,2.805
32,3752,M,M2F,YES ONE OUGHTN'T TO LEAVE THE COLONY WITHOUT SEEING IT SAYS BURGESS IT'S WORTH S,./Results/examples/pair_032_orig_M.wav,./Results/examples/pair_032_trans_M2F.wav,5.545
33,3081,F,F2M,IT'S THE MOST INEXPLICABLE THERE,./Results/examples/pair_033_orig_F.wav,./Results/examples/pair_033_trans_F2M.wav,3.69
